Hub_Name,1. Late night[00-05],2. Early Morning [06-08],3. Morning [09-11],4. Lunch [12-14],5. Early evening[15-17],6. Evening [18-20],7. Night [21-23]
ben_Hegganahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Gunjur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Hoodi,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_195_Varthur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Sarjapur-2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Whitefield_2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
DumDum MFC,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
HAL.,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_163_Malleshpalaya (Basavanagara) Kaggadasapura,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Whitefield_1,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kadugodi,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Cox town,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ggn Sector 84,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
RR Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_201_Adugodi,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_196_Azad Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_206_AGS Layout,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_Nagarbhavi,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Vijayanagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Rka_112_Rajendra Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kadubeesanahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Site_025_D_Sec46Noida,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Guw_107_Beltola,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_160_Yemlur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kundalahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ravet_101_PUN,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Guw_105_Jalukbari,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Doddanekundi,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kodegihalli Road,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kol_130_Salt lake Sec V,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Belathur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Nagerbazar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Sanjaynagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kr Puram,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Banaswadi/Horamavu,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_185_Mallathalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Sheshadripuram,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
RT Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Maruthi Nagar / Dasarahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ghansoli_063_M,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
New BEL Road,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_178_Abbigere,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
ben_176_Yeshwanthpur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_194_Richmond Town,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Hennur-Bagalur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Bhartiya city,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
